0.13	0.187448362
0.5	0.226892803
0.89	0.232477856
1	0.240855437
1	0.200712864
1	0.150098316
1	0.144164196
1	0.15393804
1	0.213104702
1.25	0.21956242
1.25	0.317824457
1.25	0.227241869
1.44	0.21240657
1.5	0.280125345
1.5	0.230208928
1.5	0.358316095
1.5	0.207519648
1.5	0.190066356
1.6	0.224623875
1.9	0.206646983
2	0.192684349
2	0.053930674
2	0.020071286
2	0.189019158
2	0.121998515
2	0.03996804
2	0.070685835
2	0.068067841
2	0.037699112
2	0.064053584
2	0.091455253
2	0.091978852
2	0.176976386
2	0.10978121
2	0.172787596
2	0.120602251
2	0.170867734
2	0.139102741
2	0.07696902
2	0.04712389
2	0.045378561
2	0.124616509
2	0.078539816
2	0.106116019
2	0.127234502
2	0.174183859
2.06	0.182910506
2.1	0.104719755
2.1	0.079063415
2.11	0.063704518
2.11	0.174707458
2.12	0.147131256
2.12	0.232303323
2.12	0.141022604
2.12	0.127409035
2.13	0.12409291
2.13	0.165806279
2.13	0.063355452
2.13	0.08709193
2.13	0.132645023
2.13	0.132645023
2.13	0.117809725
2.13	0.149574717
2.13	0.14974925
2.13	0.058119464
2.13	0.065275314
2.13	0.089884456
2.13	0.117635192
2.13	0.131946891
2.13	0.15812683
2.13	0.052708943
2.13	0.092327917
2.13	0.073478362
2.18	0.107512282
2.25	0.056548668
2.25	0.04162833
2.25	0.041015237
2.25	0.026005406
2.31	0.040840704
2.35	0.10384709
2.35	0.098785636
2.35	0.078888882
2.4	0.080983277
2.45	0.088488193
2.5	0.061959188
2.5	0.034208453
2.5	0.121649449
2.5	0.012391838
2.5	0.043982297
2.5	0.051798311
2.5	0.079149163
2.5	0.081506876
2.5	0.091978852
2.5	0.054454273
2.52	0.069115038
2.55	0.073303829
2.55	0.047647489
2.55	0.083077672
2.55	0.066147979
	
	
	
	
	
	
	
